IndexNumber_Target,ChannelCount_Luminaire,OptimCounter,CCT_Target,Duv_Target,Duv_signed,Luminance_Target,u1976_Target,v1976_Target,Luminance_Actual,u1976_Actual,v1976_Actual,MelanopicRadiance_Actual,CIEx2Degree_Actual,CIEy2Degree_Actual,LuminanceDifference_TargetTOActucal,u1976_Difference_TargetTOActural,v1976_Difference_TargetTOActural,OptimResult_Number,CRI_Actual
22,11,1,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,140.405129418086,0.267466871851773,0.501378474070857,0.0957982991112033,0.431186014788377,0.359234330822263,0.405129418086233,3.22155217540865e-05,3.92105949833521e-05,3,72.4759397185312
22,11,2,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,140.131900116199,0.267508644832219,0.501373459670167,0.0927156144415371,0.431227800180792,0.359209449047406,0.131900116199432,9.55745869224423e-06,4.42249956725815e-05,4,89.1587394146021
22,11,2,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,140.092368264437,0.267526101836866,0.501390000786487,0.122391018534881,0.431268293924666,0.359231589400294,0.0923682644368,2.70144633394698e-05,2.76838793528134e-05,5,81.3206024755505
22,11,3,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,139.85909626802,0.267516129975017,0.501422487707706,0.0958180504940445,0.431296996204111,0.359292167288459,0.140903731980416,1.70426014900471e-05,4.80304186567526e-06,6,73.6352107279878
22,11,3,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,140.929465254827,0.267451169262196,0.501444866120779,0.0956543542320237,0.431250035675719,0.359356342402481,0.929465254827363,4.79181113307026e-05,2.71814549387406e-05,7,76.591965246188
22,11,3,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,139.343115551414,0.267470031998577,0.501404402005606,0.133554424805992,0.431221688271564,0.359278385318823,0.656884448585885,2.90553749495714e-05,1.32826602339264e-05,8,69.7945375036209
22,11,3,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,140.963816653095,0.267513196646101,0.501460641113925,0.0974169330726186,0.431340796060183,0.359359936619133,0.963816653095222,1.41092725741698e-05,4.2956448085385e-05,9,74.6140448134592
23,11,0,2700,0.0210000000000002,-0.0210000000000002,140,0.268333181685781,0.497095110776813,140.471101968007,0.268342078361019,0.49713460190001,0.152119380335179,0.427001750503216,0.351586629099315,0.47110196800736,8.8966752378461e-06,3.94911231967887e-05,1,59.6882881135621
23,11,1,2700,0.0210000000000002,-0.0210000000000002,140,0.268333181685781,0.497095110776813,140.214664587692,0.268368479691974,0.497107856048326,0.0853452304044627,0.42699949523055,0.351531270821551,0.214664587692198,3.5298006192952e-05,1.27452715125709e-05,2,74.5779772164627
23,11,2,2700,0.0210000000000002,-0.0210000000000002,140,0.268333181685781,0.497095110776813,140.380837719743,0.268302805089009,0.497100509921493,0.129769397917793,0.4269158699615,0.351543260700926,0.380837719742971,3.03765967722414e-05,5.39914467989622e-06,3,67.9474015767488
24,11,0,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.452887660194,0.269124501703455,0.492755167284993,0.139682404995243,0.422659638447853,0.343942788196923,0.547112339806063,4.27742945805498e-05,1.73696027928605e-05,1,29.4935182216422
24,11,0,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.010598675381,0.269125855316297,0.492730927212286,0.119552129971798,0.422632562307078,0.343902106570469,0.989401324619195,4.14206817394569e-05,4.16096755001538e-05,2,53.3023990202227
24,11,1,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,140.738700230973,0.269162180041891,0.492798390394363,0.0980393411128545,0.422753152303918,0.344000900963774,0.738700230972512,5.09595614534009e-06,2.58535065774113e-05,3,80.4079102897265
24,11,1,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,140.519508763684,0.269132859354259,0.492778944237084,0.0968692963957799,0.422697126163753,0.343979209645207,0.519508763683717,3.44166437769022e-05,6.40734929763243e-06,4,90.237008593643
24,11,2,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.544886598219,0.269159184177946,0.492821933584183,0.163072474438162,0.422777565636266,0.344041031182552,0.455113401780579,8.09182009026133e-06,4.93966963968084e-05,5,36.8666233913445
24,11,2,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.651825380328,0.269170216820467,0.492791954444695,0.154666940075552,0.422754620360513,0.343987331930042,0.34817461967171,2.94082243068594e-06,1.94175569089294e-05,6,44.9330125933524
24,11,2,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.905643146079,0.269193299272054,0.492753378133245,0.126490626005989,0.422735123209098,0.343915048868267,0.094356853921056,2.60232740176281e-05,1.91587545410599e-05,7,49.9411982020853
24,11,2,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.688338040402,0.269145470725735,0.492754242940275,0.151966874101017,0.422682199626328,0.343933704483455,0.311661959597529,2.18052723015005e-05,1.82939475107391e-05,8,47.0124846933542
24,11,2,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.522846972878,0.269158219822477,0.492745366749155,0.129949409163335,0.422686104695912,0.343914395721144,0.477153027122228,9.05617555879701e-06,2.71701386309608e-05,9,52.5035959935648
24,11,2,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,139.87536054804,0.269138187767361,0.492768207803019,0.154197841089373,0.422690465310964,0.343959485025669,0.124639451959723,2.9088230674823e-05,4.32908476671878e-06,10,43.9207505524314
24,11,3,2700,0.0240000000000002,-0.0240000000000002,140,0.269167275998036,0.492772536887786,140.779882043346,0.269199653206825,0.49276837938689,0.114240438839081,0.422759994352853,0.34393763522556,0.779882043346021,3.23772087888474e-05,4.15750089621802e-06,11,63.4466497832658
